fault_line_distance,slope_degree,elevation,soil_type,green_area_coverage,water_proximity,disaster_risk_index,biodiversity_index,protected_area_proximity,air_quality_index,noise_pollution_potential,transport_accessibility,infrastructure_availability,zoning_compliance,poi_density,socioeconomic_score
67410,17.1,2024,clayey,0.34,1002.73,0.48,7.4,15025.81,486,0.16,0.84,False,False,364,36.84
7180,9.78,717,clayey,0.18,4141.48,0.14,3.22,13187.38,209,0.81,0.98,False,True,3682,12.84
62398,20.41,409,clayey,0.27,3614.96,0.74,6.85,3258.89,243,0.91,0.84,False,True,323,92.14
60561,2.5,3841,loamy,0.82,156.62,0.77,8.93,8855.32,95,0.41,0.79,True,False,2312,36.52
66819,17.61,1805,sandy,0.6,2463.43,0.3,2.65,456.41,494,0.7,0.8,False,False,1289,66.69
4384,26.86,-23,sandy,0.04,4669.21,0.11,5.98,29961.2,28,0.95,0.15,False,True,735,84.37
51178,36.81,3229,clayey,0.13,619.42,0.2,5.11,3568.05,46,0.31,0.27,False,True,4234,25.49
51526,16.65,368,loamy,0.87,645.0,0.3,5.43,8882.62,56,0.3,0.65,True,True,2435,6.68
9334,32.97,2916,loamy,0.12,1156.75,0.48,8.56,235.78,84,0.54,0.54,True,False,2196,28.56
30028,30.35,3448,loamy,0.91,3345.64,0.02,6.28,14594.15,305,0.82,0.61,True,False,3117,53.35
21968,29.07,1799,clayey,0.63,4698.42,0.65,5.34,8786.48,136,0.55,0.53,False,True,3660,8.41
27577,36.32,1869,loamy,0.68,1586.78,0.84,6.15,19671.6,437,0.9,0.94,True,True,2580,3.6
31426,34.67,2640,loamy,0.91,312.34,0.48,1.5,9417.91,96,0.33,0.25,True,True,170,94.28
72944,0.16,1028,loamy,0.38,4788.37,0.73,4.95,18992.22,385,0.84,0.98,False,False,104,1.81
80877,23.18,3897,loamy,0.37,206.19,0.85,6.53,9444.44,347,0.17,0.05,True,False,2848,35.72
50650,5.16,2973,loamy,0.22,437.57,0.37,8.77,8274.54,453,0.45,0.55,True,False,1045,23.2
42978,37.19,1291,sandy,0.37,162.56,0.5,8.36,3967.52,448,0.56,0.18,False,True,1154,10.49
87896,17.19,2869,sandy,0.41,2781.5,0.49,8.89,21661.1,328,0.84,0.81,True,True,3236,8.08
25572,24.23,3410,loamy,0.46,2682.5,0.51,5.81,27324.66,207,0.86,0.63,True,False,3763,76.03
60138,13.39,1851,sandy,0.36,2080.85,0.79,2.13,27101.6,268,0.58,0.73,True,True,4430,11.28
99246,22.29,1980,loamy,0.72,1418.45,0.93,7.51,12382.08,236,0.11,0.26,True,False,2165,29.52
40301,36.82,3623,sandy,0.15,1384.09,0.48,8.64,24906.62,351,0.58,0.58,True,True,1084,42.13
